,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,url,views,votes
0,flora0222,2020-07-16 08:29:00,,2020-07-17 09:20:00,,6.99,89,,Staples,Home & Garden,"One Step Hand Sanitizer, Fragrance-Free, 473mL, $6.99",https://staplescanada.4u8mqw.net/c/341376/755401/10903?u=https://www.staples.ca/products/833572-en-one-step-hand-sanitizer-fragrance-free-473ml,15445,132
1,yellowmp5,2020-07-13 13:29:00,,2020-07-17 09:18:00,,,441,,Home Depot,Home & Garden,RYOBI 20% coupon barcode,,59219,159
2,riseagainstthemachine,2020-07-02 10:03:00,,2020-07-17 09:17:00,,,92,,Kits,Apparel,Kits.com Free Pair Prescription Glasses,https://www.kits.com/freeglasses.html,25242,54
3,Googliya,2020-07-17 07:23:00,,2020-07-17 09:15:00,,469.99,13,,Costco,Sports & Fitness,"Northrock xc00, fat Tire bike, $469.99",https://www.costco.ca/northrock-xc00-fat-tire-bike.product.100517805.html,1769,2
4,Presents,2020-07-16 13:36:00,2020-07-29 00:00:00,2020-07-17 09:15:00,,,24,,Canadian Tire,Automotive,60x total CT Money when you pay with your Triangle WE MC - All Tire & Wheel purchases (YMMV),,2981,9
5,User452441,2020-04-07 18:05:00,,2020-07-17 09:15:00,,39.99,261,,Costco,Beauty & Wellness,Wahl deluxe haircutting kit $39.99 YMMV,,112880,27
6,OriginalG,2020-06-30 16:48:00,,2020-07-17 09:14:00,Apparel,27.5,280,0.5,Redirectingat,Men's Shoes,Oakley Men’s Super Coil Sandal 2.0 Sandals $27.50 (50% off) +4% CB,http://go.redirectingat.com?id=2927x594702&amp;xs=1&amp;url=https%3A%2F%2Fwww.oakley.com%2Fen-ca%2Fproduct%2F15030%3Fvariant%3D190645790333,50708,118
7,SoulTracer,2020-06-30 17:28:00,,2020-07-17 09:14:00,,278.4,157,0.3005025125628141,Home Depot,Home & Garden,40v 20” Ryobi Push Mower $278+HST (w/ 20% coupon),https://the-home-depot-ca.pxf.io/c/341376/583694/9526?u=https://www.homedepot.ca/product/ryobi-20-inch-40v-brushless-lithium-ion-cordless-walk-behind-push-lawn-mower-with-6-0ah-battery/1001487536,20936,27
8,Kafer,2020-07-15 11:02:00,,2020-07-17 09:13:00,Home & Garden,99.99,71,,PetSmart,Pets,Fluval Flex 9 gallon aquarium- $99.99,https://www.petsmart.ca/fish/tanks-aquariums-and-nets/aquariums/fluval-flex-9-gallon-aquarium-kit-42246.html,9571,29
9,samguan,2020-07-17 08:06:00,,2020-07-17 09:13:00,,327.99,5,,Amazon.ca,Computers & Electronics,LU28R550UQNXZA Samsung 28” 4K IPS Monitor $327.99,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB084V9CJB1%2Fref%3Dcm_sw_r_cp_api_i_YmzeFbWRH6ZWQ&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,862,0
10,Aminoff,2020-07-17 07:39:00,,2020-07-17 09:12:00,Computers & Electronics,39.0,2,,Ivctel,Telecom,100mb cable internet 39$,https://www.ivctel.com/Internet/Plan,630,-1
11,tmd2006,2020-07-13 11:49:00,,2020-07-17 09:12:00,Kids & Babies,199.0,101,,Costco,Toys & Games,Costco.ca Geometric dome climbing structure $199,https://www.costco.ca/lifetime-geometric-dome-climber.product.100661216.html,25080,25
12,shaibal,2020-06-27 20:39:00,2020-07-02 00:00:00,2020-07-17 09:11:00,Computers & Electronics,1998.0,28,0.23094688221709006,Samsung,Televisions,"[Visions] Samsung 65"" Q80T (2020) QLED at $1998",https://www.visions.ca/product-detail/55540/samsung_65_q80t_2020_qled_4k_uhd_smart_tv?categoryId=0&amp;sku=QN65Q80T,7974,4
13,dgshop,2020-06-23 23:28:00,,2020-07-17 09:11:00,,15.0,209,,Old Navy,Apparel,Old Navy: $15 for 5 Reusable Face Masks (Triple-Layer Cotton) Adults & Children,https://gap.dodxnr.net/c/341376/821956/10310?u=https%3A%2F%2Foldnavy.gapcanada.ca%2Fbrowse%2Fcategory.do%3Fcid%3D1157699,50584,32
14,Freebush,2020-07-15 15:16:00,,2020-07-17 09:10:00,,596.25,46,0.0683448178877795,Amazon.ca,Computers & Electronics,"AMD Ryzen 9 3900X 12-core, 24-thread unlocked desktop processor with Wraith Prism LED Cooler $596.25 PM OP",http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2FAMD-Ryzen-3900X-24-thread-processor%2Fdp%2FB07SXMZLP9&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,8168,10
15,cheystar,2020-06-29 22:42:00,,2020-07-17 09:10:00,,39.99,68,0.2,Amazon.ca,Computers & Electronics,TP-Link Tapo c200 Smart Cam Pan and tilt Home WiFi Camera $39.99,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB0829KDY9X%2Fref%3Dcm_sw_r_sms_c_api_i_qrP-EbA27M22V%3Fth%3D1%26psc%3D1&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,17472,15
16,Blubbs,2020-07-15 14:41:00,,2020-07-17 09:09:00,,,112,,Dell,Computers & Electronics,"Dell Business 15% Off Email Signup Coupon, *Stacking* w/ 10%OFFMONITOR, +6% Rakuten CB (HOT)",http://go.redirectingat.com?id=2927x594702&amp;xs=1&amp;url=https%3A%2F%2Fwww.dell.com%2Fpreferences%2Fsignup%2F%3Fs%3Dbsd%26amp%3Bc%3Dca%26amp%3Bl%3Den,18569,36
17,Elrondolio,2020-07-15 22:02:00,,2020-07-17 09:08:00,Home & Garden,24.99,31,0.7223024780531171,Costco,Furniture,"Star Elite Personal Adjustable Height Table 30"" - $24.99 (very good deal)",,13518,40
18,immad01,2020-07-16 18:03:00,,2020-07-17 09:05:00,,2.49,11,,Amazon.ca,Groceries,"Kettle Chips New York Cheddar Chips, 220 Gram for $2.49 (add-on item)",http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2FKettle-Chips-York-Cheddar-Gram%2Fdp%2FB00QJRMI0I&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,2444,0
19,nomadic,2020-07-16 20:04:00,,2020-07-17 09:04:00,,29.99,5,,Amazon.ca,Computers & Electronics,"Kasa Smart Outdoor Plug with 2 Outlets, Individual Control, IP64 Waterproof",http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fgp%2Fproduct%2FB07M6RS2LC%2F&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,2710,25
20,Van Dutch,2020-03-02 10:17:00,,2020-07-17 08:59:00,Financial Services,,1611,,HSBC,Mortgages & Loans,"HSBC Fixed rates: 2.04% 2-year, 1.99% 5-yr Insured & 2.29% 5-Yr (with cashback!)",https://www.hsbc.ca/mortgages/mortgage-offers/,402942,130
21,hill15,2020-07-17 07:53:00,,2020-07-17 08:55:00,Small Business,10.0,4,,Staples,Office Supplies,"Hilroy 1-Subject Notebook, 10-1/2"" x 8"", Assorted, 80 Pages $0.10, 24pk markers $2.49",https://staplescanada.4u8mqw.net/c/341376/755401/10903?u=https://www.staples.ca/products/14000-en-hilroy-1-subject-notebook-10-12-x-8-assorted-80-pages?utm_medium=affiliate&amp;utm_source=10078-Skimbit%20Ltd.&amp;utm_campaign=stocktrack.ca&amp;utm_content=745792-Online%20Tracking%20Link&amp;irgwc=1&amp;clickid=R5-x-bQHFxyOTQrxU-SAVSQkUkiRHFym8Rwa1U0,709,12
22,Nexus1172,2020-07-16 20:01:00,,2020-07-17 08:55:00,Entertainment,7.92,7,,Walmart,Other,[CLEARANCE] 18-2019 Panini Toronto Raptors Championship Box Set ($7.92 ),http://click.linksynergy.com/deeplink?id=CAqD7bLWUPI&amp;mid=36751&amp;murl=https%3A%2F%2Fwww.walmart.ca%2Fen%2Fip%2F18-2019-panini-toronto-raptors-championship-box-set%2F6000200266410%3Fcmpid%3Dsem_google_en_pla_none_869476302_82117457687_None%26gclsrc%3Daw.ds%26%26gclid%3DCj0KCQjw9b_4BRCMARIsADMUIyokpr40E4afAkcIzKAvFae0SlY01jocWp5aBi-w4xfYBRjPpCOPk-waAikJEALw_wcB%26gclsrc%3Daw.ds&amp;u1=rfdcb,3549,1
23,laughingoh,2020-07-14 23:24:00,,2020-07-17 08:54:00,Beauty & Wellness,,70,0.5,Clarisonic,Beauty Supplies & Personal Care,Clarisonic - Shutting Down Sale - 50% Off Everything,http://clarisonicca.sjv.io/c/341376/344610/5129?u=https://www.clarisonic.ca/en/home#,26067,23
24,mikebmt,2020-07-16 23:23:00,,2020-07-17 08:53:00,Home & Garden,30.0,8,0.33,Amazon.ca,Other,Bodum Bistro Double Wall 0.45l Set of 2 Coffee Mugs $30,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2FBodum-Bistro-Piece-double-Jumbo%2Fdp%2FB01K7MX8O0%2Fref%3Dmp_s_a_1_3%3Fdchild%3D1%26keywords%3Dbodum%2Bbistro%26qid%3D1594955947%26sr%3D8-3&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,2776,1
25,airartaura,2020-07-12 10:37:00,,2020-07-17 08:52:00,Entertainment,45.0,45,0.16,Awin1,"Books, Music, Movies, Magazines",Book Outlet - Many Low Prices on Books (Free Shipping Over $45 & 16% Off),https://www.awin1.com/awclick.php?gid=340116&amp;mid=13471&amp;awinaffid=139736&amp;linkid=2187437&amp;clickref=&amp;p=https://bookoutlet.ca/,12540,29
26,SamS36369,2020-06-22 18:13:00,,2020-07-17 08:43:00,Financial Services,10.0,725,,American Express,Credit Cards,"Amex Offers Spend $10, get $5 - Up to 10 times (starts June 24th)",,95676,116
27,stevewk,2020-07-15 14:19:00,,2020-07-17 08:42:00,Sports & Fitness,4.05,33,,Amazon,Equipment,"Olympic 2"" weight plates - 2.5lbs ($4.05), 5lbs ($7.96), 10lbs ($13.08), 25lbs ($35.97), 35lbs ($39.97), 45lbs ($66.97)",http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fgp%2Fproduct%2FB00306V4TM%2Fref%3Dppx_yo_dt_b_asin_title_o00_s00%3Fie%3DUTF8%26psc%3D1&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,9051,26
28,looking4junk,2020-06-27 15:48:00,,2020-07-17 08:42:00,Home & Garden,289.0,48,,Home Depot,Appliances,"Rheem 36kW Electric Tankless Water Heater Reg. $964, in Store $289 YMMV.",https://the-home-depot-ca.pxf.io/c/341376/583694/9526?u=https://www.homedepot.ca/product/rheem-rheem-36kw-electric-tankless-water-heater/1001070389,16725,5
29,laughingoh,2020-07-14 23:24:00,,2020-07-17 08:54:00,Beauty & Wellness,,70,0.5,Clarisonic,Beauty Supplies & Personal Care,Clarisonic - Shutting Down Sale - 50% Off Everything,http://clarisonicca.sjv.io/c/341376/344610/5129?u=https://www.clarisonic.ca/en/home#,26102,23
30,mikebmt,2020-07-16 23:23:00,,2020-07-17 08:53:00,Home & Garden,30.0,8,0.33,Amazon.ca,Other,Bodum Bistro Double Wall 0.45l Set of 2 Coffee Mugs $30,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2FBodum-Bistro-Piece-double-Jumbo%2Fdp%2FB01K7MX8O0%2Fref%3Dmp_s_a_1_3%3Fdchild%3D1%26keywords%3Dbodum%2Bbistro%26qid%3D1594955947%26sr%3D8-3&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,2810,1
31,airartaura,2020-07-12 10:37:00,,2020-07-17 08:52:00,Entertainment,45.0,45,0.16,Awin1,"Books, Music, Movies, Magazines",Book Outlet - Many Low Prices on Books (Free Shipping Over $45 & 16% Off),https://www.awin1.com/awclick.php?gid=340116&amp;mid=13471&amp;awinaffid=139736&amp;linkid=2187437&amp;clickref=&amp;p=https://bookoutlet.ca/,12549,29
32,looking4junk,2020-06-27 15:48:00,,2020-07-17 08:42:00,Home & Garden,289.0,48,,Home Depot,Appliances,"Rheem 36kW Electric Tankless Water Heater Reg. $964, in Store $289 YMMV.",https://the-home-depot-ca.pxf.io/c/341376/583694/9526?u=https://www.homedepot.ca/product/rheem-rheem-36kw-electric-tankless-water-heater/1001070389,16764,5
33,nihulen,2020-07-16 21:44:00,2020-10-01 00:00:00,2020-07-17 08:36:00,Computers & Electronics,19.99,11,0.782693771062072,Shoppers Drug Mart,Other,"Phillip Hue Bridge 2.0 - $19.99 (Clearance, YMMV)",,4105,7
34,goal80,2020-06-27 23:01:00,,2020-07-17 08:36:00,Computers & Electronics,30.0,67,,Oxio,Telecom,Oxio - cable internet service in QC : 15/10 $30 - 30/10 $40 - 60/10 $45 + 1st month free + $25 referral,https://oxio.ca/internet/,13708,1
35,FARMERBLANCHE,2020-07-14 12:45:00,2020-07-22 00:00:00,2020-07-17 08:34:00,,,113,,Shoppers Drug Mart,Groceries,Shoppers bonus event,,29334,67
36,coopercold,2020-07-09 09:14:00,,2020-07-17 08:33:00,Beauty & Wellness,5.97,33,,Amazon.ca,Other,Arm & Hammer Liquid Laundry Detergent Sensitive Skin - 100 Loads 4.43 L - $5.97,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB06WLNVTZF%2F&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,9909,61
37,KrayZeeMofo,2020-07-14 20:35:00,2020-07-17 00:00:00,2020-07-17 08:31:00,Home & Garden,50.6,81,0.48,Home Depot,Home Improvement & Tools,Ryobi Impact Driver with charger and 2 batteries - $50.60,https://the-home-depot-ca.pxf.io/c/341376/583694/9526?u=https://www.homedepot.ca/product/ryobi-18v-one-lithium-ion-cordless-impact-driver-kit-with-batteries-charger-and-case/1000751349,17182,16
38,wax888,2020-07-16 23:55:00,2020-07-22 00:00:00,2020-07-17 08:31:00,,21.99,6,,Canadian Tire,Home & Garden,MasterChef cast iron fry pan 12” for $21.99,https://www.canadiantire.ca/en/pdp/master-chef-cast-iron-fry-pan-12-in-1423931p.html,1762,0
39,Ts17dota,2020-07-16 20:51:00,,2020-07-17 08:31:00,Computers & Electronics,169.99,16,0.48,Walmart,Computers & Tablets/eReaders,"Lenovo 10.1"" M10 Rel 32GB Tablet $169.99",http://click.linksynergy.com/deeplink?id=CAqD7bLWUPI&amp;mid=36751&amp;murl=https%3A%2F%2Fwww.walmart.ca%2Fen%2Fip%2Flenovo-101-m10-rel-32gb-tablet%2FPRD7JT4KKHU3QT0&amp;u1=rfdcb,4897,19
40,hill15,2020-07-15 06:03:00,,2020-07-17 08:31:00,Home & Garden,,9,,Real Canadian Superstore,Other,No Tax All Week (ONT) July 16 to 22,https://www.realcanadiansuperstore.ca/print-flyer?navid=flyer-deal,3384,5
41,Freebush,2020-07-16 17:29:00,,2020-07-17 08:30:00,,62.16,9,,Vuugo.com,Computers & Electronics,"Western Digital Blue Series 3D NAND SATA III 2.5in Solid State Drive, 500GB $62.16 OP PM",https://www.vuugo.com/wd-ssd-WDS500G2B0A.html?tracking=5108053939762,2413,2
42,phoreoneone,2020-07-17 03:33:00,,2020-07-17 08:28:00,,10.56,2,,Amazon.ca,Beauty & Wellness,[Lightning Deal] Coppertone Sport Continuous Sunscreen Spray Spf 30 Duo Pack 222mL $10.56,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2FCoppertone-Continuous-Sunscreen-Spectrum-Protection%2Fdp%2FB083ZZXTCP%2Fref%3Dmp_s_a_1_5%3Fdchild%3D1%26keywords%3Dsunscreen%26qid%3D1594970977%26sprefix%3Dsunsc%26sr%3D8-5&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,1426,11
43,Tomas8x,2020-07-17 07:30:00,,2020-07-17 08:23:00,Computers & Electronics,9.99,1,0.55,Amazon.ca,Peripherals & Accessories,"PICTEK Waterproof School Backpack with Headphone Port, fits 14-15.6"" Laptops - $9.99",http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB07N754HNJ&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,899,8
44,sprung,2020-07-16 10:04:00,2020-08-16 00:00:00,2020-07-17 08:22:00,Entertainment,,30,,Twitter,Events & Attractions,AGO - free annual pass for front line workers,https://twitter.com/agotoronto/status/1283763848114327560,6345,37
45,2Riskit,2020-07-16 20:53:00,,2020-07-17 08:20:00,Home & Garden,19.97,11,,Walmart,Appliances,Chef's Choice Electric Knife Sharpener $19.97,http://click.linksynergy.com/deeplink?id=CAqD7bLWUPI&amp;mid=36751&amp;murl=https%3A%2F%2Fwww.walmart.ca%2Fen%2Fip%2F6000197346958&amp;u1=rfdcb,2577,6
46,Anonanon,2020-07-17 03:15:00,,2020-07-17 08:18:00,Computers & Electronics,94.0,3,,Newegg,Video Games,Nintendo eShop $99 gift card code for $94,http://click.linksynergy.com/deeplink?id=CAqD7bLWUPI&amp;mid=44589&amp;murl=https%3A%2F%2Fwww.newegg.ca%2Fnintendo%2Fp%2FN82E16832026087&amp;u1=rfdcb,929,4
47,Keenoz,2020-07-17 07:35:00,2020-07-23 00:00:00,2020-07-17 08:12:00,Computers & Electronics,39.99,1,0.5,The Source,Video Games,Star Wars Jedi Fallen (PS4/Xbox One) $39.99,http://www.kqzyfj.com/click-749547-10797598?url=https%3A%2F%2Fwww.thesource.ca%2Fen-ca%2Fgaming%2Fplaystation%2Fps4-games%2Fstar-wars-jedi-fallen-order-for-ps4%25e2%2584%25a2%2Fp%2F108082250&amp;sid=rfdcb,453,1
48,ekinjil,2020-07-15 20:37:00,,2020-07-17 08:12:00,,599.99,28,0.4000040000400004,Costco,Sports & Fitness,Body Glove Porter Inflatable Kayak $599.99,https://www.costco.ca/Body-Glove-Porter-Inflatable-Kayak.product.100569916.html,7540,6
49,reallytempting,2020-07-12 21:08:00,,2020-07-17 08:02:00,Computers & Electronics,399.0,112,,Best Buy,Computers & Tablets/eReaders,Lenovo Duet Chromebook 2-in-1: $399 - preorder,https://bestbuyca.o93x.net/c/341376/644465/10221?u=https://www.bestbuy.ca/en-ca/product/lenovo-ideapad-duet-10-1-touchscreen-2-in-1-chromebook-mediatek-helio-p60t-128gb-ssd-4gb-ram/14541985,20827,19
50,simonchretien,2020-07-16 09:27:00,,2020-07-17 07:48:00,Home & Garden,89.97,5,,Outilspierreberger,Home Improvement & Tools,Bosch core battery 6.3ah 18V 90$,https://www.outilspierreberger.com/en/18-volts/12246-core-18v-63-ah-battery-bosch.html,1205,4
51,essjayess,2020-07-17 04:40:00,,2020-07-17 07:16:00,,9.96,4,0.25,Amazon.ca,Beauty & Wellness,"Burt's Bees 100% Natural Moisturizing Lip Balm, Superfruit, 4 Tubes, $9.96",http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2FBurts-Bees-Natural-Moisturizing-Superfruit%2Fdp%2FB00HJZT0YQ%2Fref%3Dsr_1_2%3Fdchild%3D1%26keywords%3Dburts%2Bsuperfruit%26qid%3D1594975012%26s%3Dbeauty%26sr%3D1-2&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,1369,7
52,porksoda,2020-07-17 02:35:00,,2020-07-17 06:52:00,,94.99,2,,Amazon.ca,Computers & Electronics,500GB WD Black SN750 PCIe Gen3 x4 NVMe M.2 2280 $94.99,,1153,1
53,max011,2020-07-16 14:07:00,,2020-07-17 06:46:00,Entertainment,,9,,Google,"Books, Music, Movies, Magazines",[**FREE APP**] Learn Spanish with MosaLingua,https://play.google.com/store/apps/details?id=com.mosalingua.esp,2036,22
54,awsemo,2020-07-04 14:57:00,,2020-07-17 06:21:00,Computers & Electronics,499.0,259,,Costco,Cell Phones,LG G8X ThinQ 128GB Smartphone - $499 (in-store),https://www.costco.ca/lg-g8x-thinq-128-gb-aurora-black-unlocked-smartphone.product.100657778.html,56067,73
55,goodking,2020-06-15 10:47:00,,2020-07-17 06:20:00,,,1090,,Apple,Computers & Electronics,Apple 2020 Back To School Promotion - Free AirPods with eligible Mac or iPad - can upgrade to AirPods Pro!,http://go.redirectingat.com?id=2927x594702&amp;xs=1&amp;url=https%3A%2F%2Fwww.apple.com%2Fca_edu_93120%2Fshop,211716,136
56,mmagda,2020-07-15 10:10:00,,2020-07-17 06:17:00,Home & Garden,24.49,38,0.65,Canadian Tire,Home Improvement & Tools,"Mastercraft Drill/Drive Bit Set, 104-pc - $24.49",https://www.canadiantire.ca/en/pdp/mastercraft-drill-drive-bit-set-104-pc-0544208p.html,6752,11
57,metasyntactic,2020-07-07 13:21:00,2020-07-20 00:00:00,2020-07-17 05:36:00,Home & Garden,139.0,133,,Home Depot,Home Improvement & Tools,Milwaukee M12 FUEL Stubby 3/8-Inch Impact Wrench 2554-20 (Tool-Only) - $139,https://the-home-depot-ca.pxf.io/c/341376/583694/9526?u=https://www.homedepot.ca/product/milwaukee-tool-m12-fuel-12v-lithium-ion-brushless-cordless-stubby-3-8-inch-impact-wrench-tool-only-/1001232346,21234,8
58,bobmanw,2020-07-16 17:25:00,,2020-07-17 05:31:00,Home & Garden,199.97,5,0.31037693554505635,Outilspierreberger,Home Improvement & Tools,6 GALLON OIL FREE- Metabo HPT Pancake air compresor - 199.97+shipping,https://www.outilspierreberger.com/en/ensembles/12050-6-gallon-oil-free-pancake-compressor.html,1508,4
59,bobmanw,2020-07-16 17:25:00,,2020-07-17 05:31:00,Home & Garden,199.97,5,0.31037693554505635,Outilspierreberger,Home Improvement & Tools,6 GALLON OIL FREE- Metabo HPT Pancake air compresor - 199.97+shipping,https://www.outilspierreberger.com/en/ensembles/12050-6-gallon-oil-free-pancake-compressor.html,1513,4
60,Stevebos,2020-07-17 05:31:00,,2020-07-17 05:31:00,,7.46,1,,Amazon.ca,Groceries,"AirHeads Bars, 60 Count 7.46$ Lowest Camelprice",http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2FAirHeads-Chewy-Variety-Halloween-Packaging%2Fdp%2FB0017L4PH0%2Fref%3Dpd_gwm_rtpb_3%3Fpf_rd_s%3Dblackjack-experiment-2%26pf_rd_t%3DGateway%26pf_rd_i%3Dmobile%26pf_rd_m%3DA3DWYIK6Y9EEQB%26pd_rd_wg%3DJ3cKM%26pd_rd_r%3DYP18QJ52190JP7DNH34W%26pd_rd_w%3DujzLX%26pf_rd_r%3DYP18QJ52190JP7DNH34W%26pf_rd_p%3D93429153-a020-42a9-af2f-3407441a4a1d%26ParentWidgetId%3Dmobile-gateway-btf_CSInclRepeatPurchaseStrategy%26rId%3Dp13n-rid-pprb%26ParentReftag%3Drp%26ParentRankingIndex%3D1%26rId.s.purchase_d&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,998,1
61,Stevebos,2020-07-17 05:30:00,,2020-07-17 05:30:00,,7.46,0,,Amazon.ca,Groceries,"AirHeads Bars, Chewy Fruit Candy, Variety Pack, Party, Halloween, 60 Count",http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2FAirHeads-Chewy-Variety-Halloween-Packaging%2Fdp%2FB0017L4PH0%2Fref%3Dpd_gwm_rtpb_3%3Fpf_rd_s%3Dblackjack-experiment-2%26pf_rd_t%3DGateway%26pf_rd_i%3Dmobile%26pf_rd_m%3DA3DWYIK6Y9EEQB%26pd_rd_wg%3DJ3cKM%26pd_rd_r%3DYP18QJ52190JP7DNH34W%26pd_rd_w%3DujzLX%26pf_rd_r%3DYP18QJ52190JP7DNH34W%26pf_rd_p%3D93429153-a020-42a9-af2f-3407441a4a1d%26ParentWidgetId%3Dmobile-gateway-btf_CSInclRepeatPurchaseStrategy%26rId%3Dp13n-rid-pprb%26ParentReftag%3Drp%26ParentRankingIndex%3D1%26rId.s.purchase_d&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,689,-5
62,Freebush,2020-07-16 21:20:00,2020-07-30 00:00:00,2020-07-17 04:39:00,,829.99,12,0.07776839485321896,Memory Express,Computers & Electronics,MPG Z490 GAMING CARBON WIFI Motherboard Bundle w/ Intel Core™ i7-10700 Processor $829.99,https://www.memoryexpress.com/Products/BDL_MM00001524,2455,-9
63,kobaja,2020-07-16 08:35:00,,2020-07-17 04:38:00,,149.99,24,0.32,Amazon.ca,Computers & Electronics,Logitech MX900 Performance Premium Backlit Keyboard and MX Master Mouse Combo - $149.99,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2FLogitech-920-008872-Performance-Premium-Keyboard%2Fdp%2FB07C6JCFY5%3Fref_%3Dast_sto_dp&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,6944,2
64,cain2589,2020-07-16 15:49:00,,2020-07-17 04:23:00,,599.99,30,,Best Buy,Sports & Fitness,Bowflex SelectTech 552 Adjustable 5lb. - 53lb. Dumbbells - $599.99,https://bestbuyca.o93x.net/c/341376/644465/10221?u=https://www.bestbuy.ca/en-ca/product/bowflex-selecttech-552-adjustable-5lb-53lb-dumbbells/11696144.aspx,5734,-11
65,saurez7777,2020-07-15 08:45:00,,2020-07-17 04:20:00,Home & Garden,28.0,47,,Bed Bath And Beyond,Appliances,Magic Bullet 11-piece set for $28+taxes{YMMV},http://www.dpbolvw.net/click-749547-13347068?url=https%3A%2F%2Fwww.bedbathandbeyond.ca%2Fstore%2Fproduct%2Fmagic-bullet-11-piece-set%2F5470479%3Fopbthead%3Dtrue%26ta%3Dtypeahead%26keyword%3Dmagic-bullet&amp;sid=rfdcb,13157,34
66,rvdnsx,2020-07-15 11:09:00,,2020-07-17 04:15:00,,175.99,27,,Slickdeals,Computers & Electronics,12TB WD Elements External Desktop Hard Drive USB 3.0 For $175.99 USD From B&H,https://slickdeals.net/?adobeRef=5c45cd0ec6ac11eabdd4eef2e093f6790000&amp;pno=576704&amp;lno=2&amp;sdtid=14196773&amp;trd=BH%2BPhoto%2BVideo&amp;afsrc=1,5779,6
67,pigqq,2020-02-29 08:24:00,2020-09-30 00:00:00,2020-07-17 04:01:00,Financial Services,300.0,450,,CIBC,Banking & Investing,CIBC Earn $300 and 12 Month Fee Rebate with a CIBC Smart Account,https://www.cibc.com/en/special-offers/smart-fee-rebate.html?itrc=M392:11,138745,58
68,kenchar,2020-07-15 03:14:00,,2020-07-17 03:49:00,Computers & Electronics,1504.5,31,0.5,Lenovo Canada,Computers & Tablets/eReaders,Lenovo X1 Carbon 7th i5 10210 512gb SSD 16GB Ram 400NITS $1504.50/$1429.28 Student/Military,http://lenovo.evyy.net/c/341376/225728/3899?u=https%3A%2F%2Fwww.lenovo.com%2Fca%2Fen%2Flaptops%2Fthinkpad%2Fthinkpad-x1%2FX1-Carbon-Gen-7%2Fp%2F22TP2TXX17G,5688,-1
