,id,landmarks,Usage
84532,eaa1960c848ae219,,Ignored
98608,3554212e688862d4,,Private
71372,8bb5551ef0b5d5ff,,Public
106351,846fd7f47481b2c6,,Private
22975,2a81e65a86606a17,,Public
54181,61995f1fe620da84,,Public
8494,eccc8253170faec9,,Public
54674,6e3ee1121e7c733a,,Public
50989,0124d76a71e58d45,,Private
76802,fc33e6397d8fe813,,Private
10420,8c3502d092f6e8da,,Public
50245,8be3163376aa2192,,Private
105114,f885ce21856835e1,,Private
46865,f845a3494aa13720,,Private
63713,542107fe1bc062ef,,Private
101004,18627647c01dceab,,Private
43859,047c8a661056761f,,Private
53185,ecc0a29ec49e6fa1,,Public
8550,7d3dac7cf956d683,,Private
12798,cda86edcee9e1bfc,,Public
56213,f9cc82018c0edfd2,,Public
12876,c0e24ed662aecabf,,Private
57086,622dc64567c587d1,,Public
34248,e6f6f9d4e0f5917b,,Private
98452,6eead4f8046429d2,,Private
112711,253762d4fe4c66ae,,Private
1530,d4dc76365c8cf47e,,Public
26584,2220bdbc82a3efb3,,Private
86457,39999038161fe201,,Private
45152,7453f4ff4cccd83a,,Private
88434,7601f0faded3f416,,Private
95666,649584ca7baf91c9,,Private
53237,c7423e41048c3f65,,Ignored
4342,d8a03ed6046b0085,,Private
53693,fc2421f4e760af8c,,Public
71443,1339821f45d6f0c7,,Private
86426,5df3a0e4d9e73a17,,Private
107105,b2157a62e0c18d6a,,Private
117622,afde1ce032857b9e,,Private
4630,5e64526962e67318,,Public
19697,7039058707605c4e,,Private
23584,df2b27a59bc2d82a,,Private
31166,de4e5576b6efebc4,,Public
107554,e19a2121429de106,,Public
41615,ceda4e83c28e550f,,Public
25309,fd1eac6817de9763,,Private
9299,e832be703608ba39,,Private
45074,d0c09dab4546668e,,Private
77002,0ea01e363de9bd7f,,Public
74404,48296876e2a8c7d1,,Private
7493,985feae6f5e78af0,,Private
102383,c685748d554008f0,,Private
50596,f2017e1078f155e5,,Private
112505,2a61c77111003f8b,,Private
70333,f694fa95069aea4a,,Private
113185,943ac19e75123138,,Public
81662,6877aac60596651b,,Private
14828,4e33a3a06e329911,,Private
70234,c3667f20089a5ffe,,Public
24679,27bf803981222f89,,Private
98997,fe8997688f6cde2a,,Public
49379,945434b180b69a05,,Public
96961,614f75b4383a5e7f,,Ignored
47199,5ad430ad825f379b,,Public
89027,caf662a0e2715ff1,,Public
36756,3f0946b339fa8d6c,,Private
1376,8eea539a005d6177,,Public
3925,5e5b91c7eabd553c,,Private
32903,6d11ff94ff352dd3,,Private
113230,d5960eff809f2546,,Public
10121,8b54622691fb97ab,,Private
14201,d4c612766233d430,,Private
10132,7c2bcde005ad4d7f,,Public
69348,0f7bb9da05a2f5b7,,Public
6024,4fcdba109124a1aa,,Private
59753,5c8a40e31425bd59,,Ignored
42097,2fa36ee77216b6a9,,Public
21026,3643c5b0a54d6f9d,,Private
22927,9e6adcab3a4c3712,,Public
58712,b5773955dc728f49,,Private
61825,29a023b6ec5aca62,,Private
3545,a2df6d8ded7f5a44,,Public
92800,8055407c2b86e7e4,,Public
62213,89fc89398bac1ce9,,Private
64644,cb711df2091a8309,,Private
3880,32dffbb3553fc7f9,,Private
25265,377aefc0c70ab6e6,,Private
72234,d636f1396e5a902c,,Ignored
6998,583d55e23ba216dd,,Private
117035,b52a050d607d4820,,Private
64439,505f0e37cc80d8e0,,Ignored
4763,36ff5188f0974d48,,Private
31221,b2c5bf7f741e97a6,,Public
83182,8edf3cb4587c9898,,Private
57452,9e7fb4c35fe56963,,Private
109197,8f49c2f8601d330e,,Private
51804,3710b49d65f1df4e,,Private
11334,4ffffaeef8f3b06c,,Private
78322,657453c199d8656d,,Private
116953,d9764041f9a2bc8a,3922,Public
36763,be2582642429f158,,Public
86415,de4066628d746216,,Private
6674,a785674b5a2b9235,,Public
30964,696c6e347f028467,,Private
70664,9b15ef1214feb06a,,Private
62779,aaba478781bc02b0,,Ignored
63856,6d8b1895eea3b97f,,Private
15263,118dd6c45217b3b0,,Public
6788,955c31d9366272e4,,Private
15840,59ac8ace69ffd20d,,Public
108363,45729de5f26d6905,,Private
8008,bca5564399e0b5be,,Public
70832,a31a54e39b24cc28,,Private
26090,2f60b8a316070106,,Private
78373,1d512dc78c181afb,,Public
37376,46fccdc2fb6553a2,,Private
67799,5aaf2127321d11f9,,Private
11805,7c0a733ad3ad7537,,Private
85466,e12ffb9428ff4499,,Private
35565,1be334074637a7de,,Private
115761,ce905a26a4616f81,,Public
99365,393eb99a996fb80f,,Public
28153,2430eea9a97f2629,,Private
54978,f5402c629b618f1d,,Private
11577,67b76d6dc0322f1d,,Ignored
28464,94f98b50f56eb73e,,Public
83675,89accf264c8b37cc,,Ignored
101815,dc63b04e2ff3f102,,Public
40167,350f9a6bf2da9c62,,Ignored
112264,a40d02ce0770212b,,Private
13511,ab33c9f17ee6a426,,Private
38070,478e2ae363aebd2b,,Private
27507,e2a76322ff9dfb2d,,Public
104469,b768955137cc669e,,Public
116136,02ae3473772bc38e,,Public
75039,c6c202166c77b9b8,,Public
9145,e98f1d0bdf8b543b,,Private
73647,541116e8c8424f8c,,Private
38115,ad169dc9e87a43bd,,Public
2988,0d5b69ca0868063b,,Public
85945,74e3ce817584a2b7,,Public
26857,f442bd4901ebbb56,,Private
78138,555307d8bd1cece3,,Private
70158,9ac34be2985aaefa,,Public
6179,351822a6afbaff47,,Public
33711,649e7b1627f343e8,,Private
41644,59d66661ba4e8f3a,,Public
35638,65a45cd0c311ed3c,,Private
93858,6da621f6e315b2f5,,Private
11095,ae221005a937892e,,Private
114023,8a89c9d3fe066e60,,Public
33635,be4f9242508c8adf,,Private
8166,9683f121d0cad1d8,,Private
48388,d2086272bafa37ed,,Private
85025,dd8f5e737395d8ff,,Public
51696,45ffbbf77f69bbb9,,Private
46815,09b8921fe63aebfc,,Private
30919,4a4090ea7e8a7642,,Public
49764,52e8c1ab160f5b4c,,Private
9138,d5f040f6f3ff6a9b,,Private
87979,107d0e68f3a6e19d,,Private
20573,81f253b9cff6d552,,Private
15242,ee7dba4790cdfc43,,Private
18371,c3184379e094c5e0,,Private
47861,e393c32df8a56e1a,,Private
108238,1a43be49e3b53385,,Private
34058,86d0d5c2dfcd2ba8,,Ignored
114184,c5e4dcb7079d521c,,Public
35515,354dbe4904db8c9f,,Public
18586,17918b6819a6db64,,Private
55364,d12d4ee36703e68a,,Private
68714,ce49070d2caca075,,Private
23890,05e1953c3909c39c,,Private
36629,df17bba017a3d094,,Public
31196,f3bfabafba8d6bbc,,Private
20206,67947b5064991dbf,,Private
20652,40e92d9069708684,,Private
7372,2f7fb9df33a41478,,Public
25516,218b15d85cb8ee23,,Private
56046,44c46b7bf48ea504,,Public
96162,41a4b7ce3fb3468c,,Public
24027,52e8123970455a4d,,Private
116321,5fd1a1cec3548552,,Public
101543,374b03757268962a,,Private
4708,64d148d71765d36d,,Private
64351,76a8d46057dafef2,,Private
46168,5ac54ff14d8b20cc,,Private
51727,4b0071aa8b6bb7e1,,Private
73932,7e14231173092482,,Private
42220,1c572ca6a917ab5a,,Private
43243,09cde42c8300d6e6,,Private
79404,c1cbcac7514a6576,,Public
21,69fd486629b894ec,,Public
486,88db27ef2e2fbf11,,Public
107791,9839cbe6452832e3,,Private
96273,8d726e2f13ca670c,,Private
9411,a8f7b92cfeeffedb,,Private
26986,bfc62f40811b3741,,Private
95726,1de9ca71df90aec2,,Private
67938,c45de3573c23cf0e,,Private
67910,be844b480ac3db3d,,Private
113756,5807f07f30b118f7,,Public
83272,3c3361bd3dbfd05d,,Public
35856,7ab8045b9c5b76a0,,Private
45557,d2fe29b0527cc78a,,Private
42898,a7758d45a595b397,,Private
28911,beeaeb79e321ca4e,,Public
2309,101008f3e5a2a195,,Private
38626,2afac4128a4f0d8f,,Private
21248,e71f7907eaae22a3,,Private
100151,d5f54b8ba1db6dd1,,Public
102082,5988a1a05be696a3,,Public
94966,8dc6a548da8048d1,,Private
20208,f0231d988f5f5668,,Public
31567,dd22687fb7a3d898,,Public
108572,301914f74f6e5038,,Public
26647,dab3238c937c7f43,,Private
65635,cf9ab53830ed237a,,Private
61711,403fa4d953ae1b2b,,Private
60742,9b4aea028e662bf4,,Private
78278,8aea65a958492b57,,Public
80805,65e241c927ad120f,,Public
2729,82a93cbc3a6eed8f,,Private
4289,63c4cdff8fe42ed7,,Private
72764,fad5f2a905a3a627,,Public
18402,abbbf82e39d04d36,,Private
44635,8f1b391409a80b24,,Private
85522,09f5094bc3f71d84,,Private
104534,3b2dd906f1bc8c7f,,Public
99837,1274df3300c28069,,Private
72763,0df94178c03a6e55,,Ignored
23236,b715f1ffcac2727c,,Private
37013,fe406883645951a9,,Public
25593,44391312e803add9,,Private
113108,39d3211234ce35ad,,Private
75448,105c0d0ed49a40bb,,Private
45693,3f4d47fdfb9c124f,,Private
5834,4133e9d2a836e820,,Public
94613,ec46f47642ce9332,,Ignored
27688,5aaec6c4b2ba4d2e,,Private
71700,8bf437d89a92b214,,Private
107553,16dbb4f11bc744dc,,Ignored
102871,e1249ebe3720aa2b,,Private
24127,e25299a9f51bbbc8,,Private
53815,5675f5adef7141eb,,Private
37550,5f29cb3af4db11ae,,Public
78776,f9bafc6434dbce43,,Private
106064,f69d8977ecc26644,,Public
