,id,box
31185,2a10d53be51535fb,0.03 0.02 0.84 0.95
26210,fee87ff09a6b4cdf,0.00 0.08 1.00 1.00
1323,9e2e4222fda8b293,0.17 0.00 0.82 1.00
11943,b1e1f51d4eb4eedb,0.38 0.27 0.94 0.68
9170,62bebbc88effcc1b,0.09 0.32 0.59 0.50
19784,7a450c16e3066108,0.09 0.20 1.00 1.00
10388,2a79aee779602d62,0.00 0.10 0.50 0.89
1997,330947051b4a4a7c,0.03 0.00 1.00 1.00
1552,60509cf2ed78c6ed,0.49 0.43 0.70 0.56
16427,b584a050b57988b4,0.33 0.05 0.82 0.18
9809,2b44a8d91ad00abc,0.00 0.08 1.00 0.88
17155,f3d863dedb5fcbce,0.05 0.14 0.83 0.82
14705,2aef6cf980bf6794,0.15 0.30 0.61 1.00
27168,31e30bf9db2dc442,0.11 0.00 0.66 1.00
9438,2aaac4259ee9c998,0.03 0.00 0.24 1.00
8089,316a3dd74bc12b53,0.01 0.00 1.00 1.00
25179,2a8dcdaa79de0580,0.48 0.00 1.00 0.89
164,752158e530b1ca8c,0.00 0.08 0.91 1.00
14125,2cfb9f70709908e2,0.00 0.00 0.95 1.00
3489,f082e772f8ae8b46,0.62 0.00 1.00 0.87
13134,fc45f963f6e3ecdd,0.09 0.22 0.81 0.75
15335,b86ccef589320965,0.24 0.11 0.57 1.00
5712,ff2c45894f4f39e3,0.00 0.00 1.00 1.00
8997,78fd79dc9b4ce2e9,0.22 0.00 0.67 1.00
10989,2cf24ce6d1c444a3,0.33 0.00 0.93 1.00
16081,60c315467c00842f,0.05 0.17 1.00 1.00
12159,7392af39762420f2,0.05 0.00 0.93 0.77
30703,2a19caa55d89079f,0.31 0.00 0.59 1.00
15756,2bf15c456df9d19d,0.39 0.34 0.92 1.00
4196,2c54b118b3747ab7,0.05 0.00 1.00 1.00
12437,498b06222e3d6001,0.18 0.00 0.81 1.00
29769,60cf3f649d670b51,0.04 0.20 0.75 0.96
31978,2cc0c54cbc96d28d,0.06 0.16 0.83 0.81
31636,2e4a337690a7d6a9,0.03 0.00 0.75 0.62
3301,2b9e6c0c10b9983f,0.19 0.03 0.91 0.14
30179,3140abd0d95407d5,0.00 0.32 0.83 1.00
9026,9f1222d0bf4ef875,0.18 0.20 0.66 0.77
30715,6476b7b0e30c13ae,0.06 0.00 0.94 0.72
